names,colors,condition,model,instrument,trial,stimulus
"('Vicki', 'Denise')","('blue', 'purple', 'red', 'green')",Ignorance,gpt-5-low,violin,0,"[IMAGE STIMULUS] names=('Vicki', 'Denise'), colors=('blue', 'purple', 'red', 'green'), instrument=violin, condition=Ignorance, images=first-violin-blue-purple-red-green.jpg + second-violin-blue-purple-red-green.jpg"
"('Vicki', 'Denise')","('blue', 'purple', 'red', 'green')",Ignorance,gpt-5-low,violin,1,"[IMAGE STIMULUS] names=('Vicki', 'Denise'), colors=('blue', 'purple', 'red', 'green'), instrument=violin, condition=Ignorance, images=first-violin-blue-purple-red-green.jpg + second-violin-blue-purple-red-green.jpg"
"('Vicki', 'Denise')","('blue', 'purple', 'red', 'green')",Ignorance,gpt-5-low,violin,2,"[IMAGE STIMULUS] names=('Vicki', 'Denise'), colors=('blue', 'purple', 'red', 'green'), instrument=violin, condition=Ignorance, images=first-violin-blue-purple-red-green.jpg + second-violin-blue-purple-red-green.jpg"
"('Vicki', 'Denise')","('blue', 'purple', 'red', 'green')",Ignorance,gpt-5-low,violin,3,"[IMAGE STIMULUS] names=('Vicki', 'Denise'), colors=('blue', 'purple', 'red', 'green'), instrument=violin, condition=Ignorance, images=first-violin-blue-purple-red-green.jpg + second-violin-blue-purple-red-green.jpg"
"('Vicki', 'Denise')","('blue', 'purple', 'red', 'green')",Ignorance,gpt-5-low,violin,4,"[IMAGE STIMULUS] names=('Vicki', 'Denise'), colors=('blue', 'purple', 'red', 'green'), instrument=violin, condition=Ignorance, images=first-violin-blue-purple-red-green.jpg + second-violin-blue-purple-red-green.jpg"
"('Vicki', 'Denise')","('blue', 'purple', 'red', 'green')",Ignorance,gpt-5-low,flute,0,"[IMAGE STIMULUS] names=('Vicki', 'Denise'), colors=('blue', 'purple', 'red', 'green'), instrument=flute, condition=Ignorance, images=first-flute-blue-purple-red-green.jpg + second-flute-blue-purple-red-green.jpg"
"('Vicki', 'Denise')","('blue', 'purple', 'red', 'green')",Ignorance,gpt-5-low,flute,1,"[IMAGE STIMULUS] names=('Vicki', 'Denise'), colors=('blue', 'purple', 'red', 'green'), instrument=flute, condition=Ignorance, images=first-flute-blue-purple-red-green.jpg + second-flute-blue-purple-red-green.jpg"
"('Vicki', 'Denise')","('blue', 'purple', 'red', 'green')",Ignorance,gpt-5-low,flute,2,"[IMAGE STIMULUS] names=('Vicki', 'Denise'), colors=('blue', 'purple', 'red', 'green'), instrument=flute, condition=Ignorance, images=first-flute-blue-purple-red-green.jpg + second-flute-blue-purple-red-green.jpg"
"('Vicki', 'Denise')","('blue', 'purple', 'red', 'green')",Ignorance,gpt-5-low,flute,3,"[IMAGE STIMULUS] names=('Vicki', 'Denise'), colors=('blue', 'purple', 'red', 'green'), instrument=flute, condition=Ignorance, images=first-flute-blue-purple-red-green.jpg + second-flute-blue-purple-red-green.jpg"
"('Vicki', 'Denise')","('blue', 'purple', 'red', 'green')",Ignorance,gpt-5-low,flute,4,"[IMAGE STIMULUS] names=('Vicki', 'Denise'), colors=('blue', 'purple', 'red', 'green'), instrument=flute, condition=Ignorance, images=first-flute-blue-purple-red-green.jpg + second-flute-blue-purple-red-green.jpg"
"('Vicki', 'Denise')","('blue', 'purple', 'red', 'green')",Ignorance,gpt-5-low,ball,0,"[IMAGE STIMULUS] names=('Vicki', 'Denise'), colors=('blue', 'purple', 'red', 'green'), instrument=ball, condition=Ignorance, images=first-ball-blue-purple-red-green.jpg + second-ball-blue-purple-red-green.jpg"
